smokes,weight,gave_consent,ssn
no,62.133337198094466,True,191-80-6192
yes,60.86574396702962,True,362-59-4497
yes,58.37226144927966,False,522-44-4267
yes,57.80689997224438,True,672-81-4820
no,56.93167888591457,True,111-96-0846
no,56.78455293930557,True,774-28-4212
yes,85.30179711319079,True,850-48-0274
no,86.91498624426463,True,704-89-5627
yes,79.88769563244287,True,310-33-4756
yes,57.46412883130127,True,433-47-9142
yes,82.07550279190791,True,423-35-9055
no,73.31015799024514,True,154-01-4469
no,79.79306730192565,True,194-50-3731
no,81.70376342564882,True,319-44-9509
no,59.405775121129295,True,783-37-9357
yes,58.16615497561271,True,580-90-3070
no,80.51017556146165,True,287-37-3713
no,59.30283301947147,True,661-63-1046
no,74.96223584547829,True,883-81-1583
no,79.87398876829099,True,848-87-0888
no,78.33220875578266,True,674-57-4536
no,59.14844542888144,True,132-15-5994
yes,81.3055280566306,True,317-93-5136
yes,59.28499390359802,True,317-74-2860
no,65.79653450874405,True,411-78-1504
no,77.46414230096579,True,592-57-9821
yes,82.52584936675993,True,188-60-8318
no,75.19198879559382,True,823-09-1687
yes,63.73682981144354,True,015-80-3337
no,58.92582365252707,True,125-13-5905
no,59.62389070430312,True,211-69-4710
no,58.86284736842617,True,630-04-1365
no,63.47497464681314,True,219-11-4672
no,71.8954294878013,True,671-95-4565
no,73.21312343222161,True,696-08-2436
yes,58.50350516733623,True,634-74-7674
yes,58.938500209725674,True,580-28-6974
no,73.54682091041757,True,184-54-1721
no,73.88356970404114,True,544-23-6189
yes,74.85375827864189,True,238-71-8202
no,61.295610741388856,True,535-61-7582
no,82.22926253130501,False,117-49-7663
yes,55.76894772695799,True,350-34-9467
no,61.150907655603426,True,240-96-1181
no,55.06652517496535,True,162-17-9509
no,59.86816934262975,True,445-68-2430
yes,79.95982696413448,True,174-54-3280
no,69.62509756914976,True,386-84-2535
no,56.99173434894925,True,419-57-9904
no,78.23214236669287,True,841-86-6361
no,79.84670567531607,True,519-44-9389
no,85.52230118366575,True,031-02-9139
no,77.87163986739704,True,109-97-1422
no,59.65543056948959,True,397-16-1946
no,84.43376703519611,True,371-26-6470
no,57.23843669997061,True,301-10-9638
no,58.35880137133377,True,590-24-7309
no,57.538976985936706,True,402-92-7140
no,82.46359531520316,True,573-18-4318
no,80.16222703228198,True,274-37-3524
yes,59.78445434736033,True,382-37-8870
yes,59.9993373050952,True,440-37-8552
no,85.2505684688961,True,699-24-6190
no,87.44583213147122,True,708-59-0081
no,60.663889725103864,True,689-41-0103
no,78.719918128139,True,582-60-2213
no,55.872026249791226,True,814-32-1338
yes,73.43045953367795,True,047-67-4673
no,54.952433109437656,True,795-86-4253
yes,74.47404204260107,True,751-79-7827
yes,74.72026830737532,True,736-39-0629
no,82.07217505639906,False,469-10-4806
no,62.84957370341335,True,241-92-9893
no,73.47729394551507,True,207-83-1585
no,61.61920571202839,True,193-51-7476
no,65.0983767918649,True,429-29-0583
no,86.4141861234335,True,409-93-1522
no,54.7190818523688,True,416-44-1710
no,64.6583434082298,True,207-10-0429
no,60.99063942063793,True,764-70-7643
yes,58.335558107311044,True,849-24-9065
no,72.02557177383883,True,742-16-4565
no,56.66976980500188,True,831-28-5514
no,59.43346095637277,True,759-76-9998
no,81.05563540164202,True,612-53-4609
yes,72.68887469037384,True,230-36-8477
no,89.25405084486101,True,309-68-2177
no,85.99339361233834,True,608-42-7527
no,67.02672865169059,True,798-38-6938
no,57.51241870910096,True,168-02-1726
no,88.88852132384746,True,477-02-4050
no,84.6617646613424,True,064-15-5042
no,65.22915728364255,True,331-70-6860
no,67.64307510737315,True,068-39-8621
no,59.88326302791266,True,035-27-2143
yes,87.27171738195317,True,746-91-1250
yes,83.52154149084049,True,683-37-5629
no,60.886891964942684,True,577-73-3168
no,66.23953271050111,True,005-93-4012
no,80.0902755482814,True,854-82-1073
yes,80.11399199844686,True,639-78-2334
no,60.336297435056935,True,096-78-1320
no,83.139334162654,True,417-96-3431
no,73.19940985230096,True,162-55-8151
yes,77.6928909139717,True,825-63-2299
yes,63.16213527356794,True,294-72-4060
yes,57.05736936981305,True,570-33-3785
yes,59.774216138288324,True,624-30-5708
no,59.108825754727874,True,017-44-9791
yes,52.615894236754855,True,738-86-4578
yes,77.16829384083391,True,362-59-7914
no,58.54699196251243,True,397-83-9171
no,56.785522713759825,True,430-95-7019
no,56.38654833169168,True,741-42-8512
no,81.96504972055514,True,038-69-3937
no,56.40228461211125,True,139-22-2348
no,60.22848953336673,True,302-53-3018
no,61.376397361088095,True,521-49-9198
no,85.6522626539131,True,762-95-6294
no,62.865389756769815,True,651-15-4231
yes,56.45834134140669,True,465-05-1542
yes,62.3638672343149,True,202-47-7748
no,68.91725149482276,True,305-05-0679
no,75.77249879484667,True,531-32-1690
no,93.21461342352856,True,325-52-3482
no,69.72576858945936,True,635-86-4411
yes,59.753088505800385,True,620-21-5395
yes,75.66869972776333,True,718-48-5525
no,78.22055806838583,True,066-45-4578
no,59.725455574928695,True,735-42-5039
no,59.81845486213167,True,317-86-9206
no,66.41219437257732,True,557-85-0956
no,83.08719860639324,True,701-27-5493
no,57.51827450252036,True,827-20-5082
no,59.531626858932206,True,542-38-8580
yes,74.78665169824251,True,062-48-5292
no,55.47877942348329,True,467-03-3968
no,84.19024291976642,True,563-07-9530
no,57.276355161716566,True,225-90-8214
no,66.11905811147676,True,487-42-0738
no,58.02372874818023,True,053-67-0471
yes,76.9330129892254,True,638-68-9753
no,76.4411818434385,True,410-28-0040
no,58.4199524581951,True,859-88-1447
yes,61.575082534907686,True,210-59-0766
yes,63.36680359817375,True,442-48-4018
no,66.03552605743855,True,710-59-4214
no,90.04217379536003,True,124-09-2837
no,79.57963271565244,True,043-24-9955
yes,60.95584804628584,True,557-19-1807
yes,86.98519364570767,True,890-61-4144
no,80.67048296082548,True,773-05-7847
no,60.516112099073005,True,053-63-8001
yes,62.66899024636585,True,006-19-1181
no,63.402471495727696,True,117-66-7600
no,63.502499825280175,True,281-82-3952
no,70.8071198314089,True,576-68-2802
no,83.87760765824898,True,025-62-2910
no,77.6649717565124,True,430-81-9699
no,77.12820922984366,True,569-77-6322
no,87.28751197742827,True,460-83-3892
no,61.60274026275243,True,332-44-3587
no,75.96495435203553,True,014-64-6495
no,58.112527642732516,True,121-04-5700
no,63.5330013791632,True,617-78-2254
no,55.865154942027274,True,689-75-9736
no,59.114566758526145,True,285-64-4581
yes,78.97797110955594,True,130-16-4264
no,53.67047992303959,True,345-59-3626
no,82.24845512183293,True,119-96-6288
yes,54.77954303719771,True,253-54-7948
no,58.529267868602304,True,720-94-8068
yes,84.38115331577069,True,380-32-7774
yes,87.9997249769684,True,283-17-8394
no,85.8292702633774,True,182-03-6709
no,60.3683889010396,True,562-12-5446
no,62.146616771223854,True,337-04-9833
no,76.54443729604402,True,826-72-7892
no,61.24289333115015,True,157-33-0340
no,75.8524193909453,True,001-92-0877
no,71.97482416998425,True,466-02-6618
no,57.82474982850889,True,625-32-5077
no,59.08204912119247,True,697-28-1185
yes,56.73444640381367,True,513-15-1869
yes,60.064118279989195,True,225-14-9304
no,81.11003586856137,True,063-90-2203
no,63.69549371344374,True,125-85-7901
yes,56.079874831033386,True,157-74-7412
no,57.76184133061715,True,556-96-9544
no,59.16213817407802,False,895-62-6015
yes,84.29425214299525,True,181-43-1392
no,78.55199922676287,True,756-98-4472
no,74.79207874873565,True,268-39-1801
yes,58.30688156544082,True,220-01-6752
yes,81.34826939273873,True,643-30-4816
no,61.4711232107268,True,717-42-7398
no,77.88105885436312,True,806-40-9502
no,56.47992467361993,True,454-59-5377
no,60.6950763507469,True,472-34-3100
no,81.58966840814284,True,868-81-6973
no,61.45938699310673,True,474-93-3604
no,67.71385160852029,True,864-92-4242
no,74.75595588816662,True,554-96-8810
no,57.74415356567546,True,460-90-4769
no,60.55825278011194,True,580-76-3779
no,59.16456552764148,True,449-72-3122
no,59.26305059452146,True,572-70-6963
no,60.64426597738474,True,694-58-1612
yes,74.01565254616338,True,422-92-3168
no,91.47981902702041,True,662-64-6687
no,73.94934011919331,True,281-69-1473
no,86.49320097797478,True,455-86-4456
no,58.45261436440146,True,870-03-2503
no,79.27868627229073,True,061-68-4383
no,60.57929366298206,True,394-58-9663
yes,67.7337003672515,True,676-29-7194
no,74.6822526740224,True,698-76-6674
yes,77.0408453592891,True,473-73-7252
no,75.85321786138074,True,206-94-1042
no,56.04235362728152,True,200-28-2619
no,60.15171225598665,True,301-37-8978
no,55.43981340044717,True,603-66-5326
yes,61.634432666345255,True,114-93-3752
yes,74.1936826465388,True,481-27-1699
no,55.32325680969908,True,844-79-3312
no,77.62754822956023,True,333-36-4544
no,81.90932421912515,True,691-06-8508
yes,59.64815079875288,True,455-28-3513
yes,74.7803643060314,True,485-17-1486
no,84.37544105738068,True,112-55-6329
yes,75.90255022535777,True,793-46-2385
no,59.69120652812012,True,583-42-6491
no,86.066624432424,True,784-78-5783
no,54.06301353810611,True,045-78-8358
yes,87.55127500570428,False,090-05-1043
no,55.845839443588645,True,065-26-3782
yes,60.7611031775935,True,557-86-3684
no,79.9235693694255,True,209-37-2487
no,72.15493183519874,True,653-94-3853
no,80.90854474154361,True,637-79-5416
no,76.16225529081721,True,120-23-6951
no,81.43008471671506,True,770-52-2904
no,90.51941450814557,True,112-35-1637
no,65.59874863772247,True,496-82-6779
yes,77.80114513342781,True,638-73-7557
no,59.13016588869094,True,620-18-2010
no,77.06730875819765,True,243-95-2707
no,67.09409264804609,True,790-62-3733
no,70.69287992828933,False,091-83-4969
no,83.5825395601732,True,500-02-5035
no,83.07783161571123,True,401-76-0602
no,59.04212821929697,True,539-01-3059
no,84.74267124333521,True,704-28-4041
no,59.85984175915345,True,188-36-4478
no,57.74749528963123,True,585-27-7199
yes,78.23500323365116,True,350-41-8980
yes,80.63692196600347,True,112-15-7968
no,75.95311221507284,True,676-18-1654
no,58.101942235716194,True,274-21-4616
yes,60.62793025155145,True,207-94-0206
no,82.40154110221245,True,814-94-5195
no,79.83769211883705,True,881-19-9338
no,70.61293577388103,True,294-79-0818
no,56.61563971957146,True,426-17-5092
no,60.667271412656824,True,771-46-1025
no,80.94279206865544,True,770-45-4288
no,57.46148438546712,True,599-66-9599
yes,57.660405309859904,True,379-62-3642
no,60.420539728606535,True,446-35-7840
no,76.25097498260371,True,741-62-9407
yes,59.19680098703838,True,813-84-8423
yes,82.32165356928054,True,068-56-7870
no,76.88475215842186,True,306-33-1225
yes,75.53511594620608,True,830-96-6685
no,65.80513181192376,True,626-77-1087
no,71.19604545234247,True,259-07-1555
no,76.36082545389498,True,829-94-8606
no,77.10882620859883,True,232-85-2442
yes,89.82278401168968,True,777-01-4062
no,81.45747714751023,True,813-78-8475
no,59.32752295104975,True,086-19-4078
no,58.47728314587367,True,471-14-4582
yes,78.22761385265864,True,754-10-6864
yes,74.73076614551341,True,664-96-8820
no,52.7382400134922,True,577-37-6056
no,62.735143476213004,True,598-44-6445
no,85.95412158790968,True,502-17-7981
yes,74.17246684191724,True,136-04-6223
no,58.743929110815685,True,770-80-3740
no,79.38526252655032,True,683-62-4095
no,85.00109483352283,True,077-42-9990
yes,85.45022689599199,True,259-63-6506
no,81.01080312768585,True,866-37-7649
yes,79.04571044973028,True,646-11-7042
no,55.2460237549163,True,426-03-8134
no,83.09399759661225,True,662-92-8457
no,64.75927846309843,True,088-78-3142
no,59.67537107593488,True,187-48-8524
no,75.33620934685686,True,121-61-0156
no,57.864621633435135,True,524-42-2361
no,57.93672156772053,True,202-48-7168
no,83.52113052979874,True,746-42-6651
no,62.78952456919505,True,678-59-1282
no,62.92688158106216,True,283-13-7588
no,81.39091961566689,True,589-17-2470
no,83.78043110459461,True,850-70-2546
no,72.1900302055566,True,412-24-7502
yes,78.83621625465123,True,897-49-6086
no,60.06360497461594,True,587-85-9576
yes,58.89547614252085,True,699-47-6675
yes,80.10059254118762,True,036-42-4941
no,57.13683858209828,True,754-80-7204
no,80.25918298892864,True,829-18-4543
yes,79.0830334731147,True,133-53-5611
yes,88.57161618681678,True,287-02-2754
no,64.0730902153214,True,716-55-4093
yes,79.17194173919496,True,481-90-2816
no,59.59867099021255,True,442-09-8139
no,62.21736552237638,True,633-66-8444
no,60.057799207875625,True,566-29-4043
no,79.79940220005983,True,381-34-1950
no,89.08583014184245,True,105-27-8794
yes,93.57185759987087,True,171-51-6111
no,58.167822159563904,True,386-08-1425
no,59.40144386829534,True,829-09-0249
no,79.63581307302348,True,676-75-5274
no,75.86999058499288,True,174-83-9810
no,72.72481311851011,True,485-38-4138
no,54.32540636539922,True,707-97-3127
no,74.2688868450166,True,136-03-5775
no,57.182423905388724,True,243-03-5583
no,59.110660707255676,True,504-80-8733
no,60.22875140272931,True,719-96-7349
yes,88.20975779943089,True,202-16-6739
no,57.63109918017483,True,431-08-6479
no,79.77445684488866,True,222-58-8196
no,81.69364366468142,True,391-57-2273
yes,57.57317607396611,True,512-07-1555
no,58.12825207260444,True,157-47-0886
no,61.2244871036967,True,539-85-6276
no,61.90225670498397,True,154-33-4053
no,57.66839979553544,True,819-71-8944
no,86.30605596855312,True,727-16-8914
yes,80.64222392955126,True,386-13-6361
no,59.211634332290416,True,176-94-1571
no,83.84756672243714,True,368-12-4401
no,59.617536085704806,True,825-93-6422
no,64.45087959654333,True,209-36-1051
yes,76.01037400914184,True,232-42-8160
yes,71.43951361383459,True,441-47-7108
no,90.9406965992095,True,105-75-0424
yes,79.74602527691992,True,732-44-7331
no,59.50473585655644,True,347-39-5357
yes,75.24863309688035,True,421-17-4462
no,63.01705056605513,True,567-10-6138
no,74.5052859457021,True,671-82-3010
no,56.67174086438027,False,313-31-5919
no,58.41359295503505,True,491-52-2790
no,83.40038051234956,True,583-39-2509
no,78.40091666416345,True,230-69-1625
no,73.71395432552228,True,274-64-7426
yes,61.18089875005178,True,082-80-8269
no,57.274043344013805,True,084-16-7147
no,61.06205705461875,True,393-95-6586
no,60.04731986778039,True,501-94-0682
no,77.65684681700368,True,757-76-6532
no,76.78096111516426,True,337-58-3697
no,78.01357256785248,True,715-59-8669
no,59.5448640666395,False,684-84-2881
no,75.61266875502564,True,390-50-4801
no,57.93259019594679,True,045-30-1753
no,80.08782327975885,True,424-64-8566
no,56.83358003017899,True,888-15-8319
no,84.70034051319647,True,098-59-8026
no,54.8100181031749,True,818-27-8650
no,85.53468594549143,True,503-30-7428
yes,81.90196822925436,True,192-45-2583
no,82.82708177547661,True,525-95-5507
no,78.84560243864392,True,764-83-0658
no,66.2170451050141,True,248-10-7827
no,82.76718114538984,True,462-37-3606
no,63.66949653878357,True,674-25-5181
no,78.25074301027375,True,222-59-3634
no,58.72568641734172,True,821-56-0615
yes,59.11952024379625,True,846-35-5078
no,62.101800556696595,True,552-32-2833
no,83.82744975126761,True,144-62-7074
no,77.28809004174965,True,285-27-4051
no,80.393120403512,True,111-63-7839
yes,60.60125144570871,True,244-55-4971
yes,79.35791608040877,True,205-21-8495
yes,52.291625004877176,True,194-07-6030
no,80.72370771309103,True,416-22-3742
yes,63.651634094013325,True,380-76-1876
no,61.98433460365561,True,719-24-5772
no,90.73575882902962,True,544-62-7780
yes,57.274948409557986,True,626-61-0533
no,75.11737779551429,True,197-20-3982
no,75.5612479978499,True,862-27-2338
no,77.49003433793796,True,198-64-2604
no,78.52656278284313,True,304-74-6567
no,58.25109952879524,True,459-19-1710
yes,81.5630790093067,True,061-55-4604
no,61.03238444575567,True,014-13-7660
no,81.88540984835063,True,858-19-3967
yes,57.89044237631223,True,584-96-9875
yes,60.93383808188058,True,408-50-2181
no,61.347814079131965,True,331-41-3943
no,84.67040559064594,True,738-20-8219
no,74.33352653686838,True,567-72-7554
no,58.74724579246117,True,387-06-6165
no,62.01459632138065,True,499-33-0887
yes,74.8513315895374,True,201-39-7865
no,76.76770278770476,True,250-79-4404
no,59.316926101886196,True,392-21-9906
no,87.49432587681027,True,543-67-9968
no,59.41867539468273,True,585-42-3158
no,90.70337589373929,True,866-98-3931
yes,61.62395589710719,True,110-76-4221
yes,82.12953812568205,True,227-38-3504
no,58.67639084011959,True,763-73-9449
no,60.973268531259045,True,487-41-6202
no,61.02148026796397,True,479-71-2037
no,81.09328716601593,True,450-59-4388
no,75.75883518085175,True,061-82-7744
no,81.7477340961209,True,128-46-3219
yes,80.43637288564932,True,330-57-9740
no,65.18380146832362,True,180-56-0809
yes,58.295640638902086,True,118-52-0660
no,72.79029548141962,True,515-66-9239
no,62.53701637439687,True,501-53-4637
no,77.98222569505454,True,235-66-0796
no,56.77745995708318,True,359-85-6342
yes,83.97742540029832,True,225-12-6959
no,69.96234462042385,True,558-31-9999
no,56.72240446864839,False,156-98-3372
no,81.17414675840043,True,670-50-8127
no,75.23674152499404,True,693-48-8256
no,76.7990687984529,True,023-54-1273
no,80.22783383689867,True,274-55-4280
no,81.72171967278068,True,092-85-1992
no,61.37288409032541,True,310-65-5548
no,88.5224761438948,True,505-08-7744
no,82.62693866736575,True,833-76-8186
no,74.4452214617687,True,593-29-3308
no,84.16306376270127,True,123-60-6037
no,58.385308432792236,True,121-02-9527
no,71.98721297433197,True,277-80-4360
no,82.73800996920657,True,814-28-2008
no,79.82761665011098,True,429-20-3890
yes,61.14175877820622,True,204-76-5072
yes,59.51618199703928,True,162-53-3317
no,56.455596761518045,True,687-42-0072
yes,86.24920107549254,True,676-44-0212
no,75.3884655154716,True,303-87-4399
no,78.7205173173599,True,656-72-9055
no,79.89526241350262,True,849-50-4798
no,62.28433169373922,True,005-46-3387
yes,59.96246315358596,True,585-11-4278
no,78.82591940319773,True,864-53-5467
no,69.49347253689344,True,208-13-7563
no,78.88723833206656,True,109-78-8586
no,81.1155376687276,True,654-44-4389
no,61.68046984669154,True,514-54-8953
no,79.23211497165885,True,669-06-1459
no,54.547910965385626,True,787-44-7778
yes,77.09471131600402,True,384-77-0996
no,64.11362601870132,True,101-22-2481
no,85.74190803696813,True,045-25-7890
no,61.80162419028123,True,634-53-0144
yes,61.480431915933934,True,388-74-6758
no,57.072579079434625,True,093-07-4752
no,65.75460238353901,True,472-58-8015
no,83.65028516855551,True,457-36-4970
no,73.41531158277608,True,118-66-7388
no,56.98095326781948,True,834-31-2164
no,60.06062457370162,True,812-59-8753
no,73.32852850804895,True,427-87-4003
no,66.25619706132275,True,149-73-1854
no,58.85187368102885,True,536-89-6852
no,62.6657996551683,True,831-75-3418
no,72.75696094574256,True,087-83-8837
no,74.04458174412113,True,382-57-0776
no,60.06788190562142,True,187-90-0927
yes,55.72362280895203,True,353-47-4610
no,57.26053424439511,True,884-57-8808
no,79.365275956918,True,069-17-8832
no,84.13524452033207,True,582-20-1688
no,77.13765491505823,True,675-96-6045
no,52.281880407441584,True,090-06-5392
no,79.76959808734519,True,639-73-3836
yes,84.63095702371892,True,660-43-1416
no,79.31728536794252,True,001-98-3642
no,75.93081289573307,True,059-50-0449
no,63.06028089212283,True,801-37-4073
no,60.57546916906707,True,465-13-1592
no,77.87583896038065,True,281-61-8512
no,63.378235705011456,True,420-74-2698
no,64.65245051605484,True,229-95-6903
yes,75.72138538833713,True,745-11-7389
no,80.41059796238146,True,140-12-1387
no,84.88775549397587,True,730-06-3942
yes,77.22089840467319,True,732-19-3623
yes,82.72890275387853,True,257-39-1526
no,73.92635265980607,True,019-78-1135
no,60.632135067151644,True,832-54-1289
no,77.34902632968766,True,289-53-9826
no,83.85329209992699,True,708-07-5318
no,64.59900508290035,True,548-77-8319
no,81.55406594073409,True,289-37-4922
no,82.52243629926915,True,149-08-8321
no,87.71632115545005,True,497-98-3089
no,63.98036653008711,True,651-34-7883
no,61.109556368887965,True,647-63-8768
no,75.90280684671882,True,720-58-3487
no,60.3123799367173,True,113-53-0736
no,68.56851674419056,False,017-18-4443
no,59.51826143862439,True,738-77-9397
no,59.45290106579509,True,480-87-7128
no,69.86397991053909,True,258-62-9363
no,56.281580509346554,True,415-57-4777
no,55.88547523732099,True,335-50-8422
no,61.34814893038551,True,024-62-4352
no,82.33349271645609,True,449-07-3847
no,77.23364699741464,True,689-99-6703
yes,79.03129346616977,True,655-11-8523
yes,59.19640307543031,True,684-79-9851
no,58.484466672067185,True,487-27-7128
no,73.37444712499371,True,563-08-7677
yes,78.30208954415377,True,667-58-6934
yes,61.84241310383657,True,426-15-9827
yes,77.4554121490246,True,738-67-2391
no,59.46605256200227,True,027-74-5262
no,62.02125254156764,True,278-52-7202
no,63.671539675679114,True,874-65-1414
no,66.03494101122122,True,879-70-5128
no,57.10886225245254,True,290-26-4274
no,82.09043911207526,True,685-44-8534
no,76.1284998688438,True,505-49-4951
no,61.76469366044131,True,675-71-0209
yes,80.62291804859632,True,360-37-4125
no,75.93808574157022,True,439-76-2453
no,58.50801847657598,True,275-06-9872
yes,83.31584538517045,True,251-84-2425
yes,60.07935434228742,True,119-13-7377
no,61.02801911862488,True,177-64-6381
no,81.42046666191935,True,254-75-6673
yes,79.45902937333976,True,573-91-7856
no,59.90613915825979,True,596-56-4049
no,79.84118178135678,True,718-28-3697
no,58.230021021820946,True,046-44-6309
no,61.399184606911824,True,003-42-9187
yes,74.54799624618752,True,331-86-0913
no,71.10624836370447,True,359-81-2013
no,62.18540754076714,True,576-35-0704
no,60.76189784933101,True,645-09-2978
no,80.41066863345849,True,225-75-2045
no,81.43212538519047,True,499-92-0675
yes,82.49488710081347,True,358-82-5914
no,83.73490162826418,True,272-06-5674
no,56.38818704757876,True,655-25-7211
no,57.82783618034079,True,531-77-0706
yes,75.15884739114465,True,527-51-9272
no,63.026458431011015,True,259-77-0902
no,81.84964138422514,True,545-63-2205
yes,59.013292692581075,True,509-28-4659
no,91.83257290458454,True,217-02-7326
no,78.91497906370695,True,520-05-3269
no,86.83372373127321,True,060-34-8914
no,78.796406114628,True,249-46-8731
no,61.2009169612426,True,444-05-8030
no,84.09968929770675,True,242-59-0432
no,59.061670728234326,True,722-21-7476
no,81.05426605831764,True,780-55-0809
no,69.8660214615241,True,513-31-5092
no,57.92879271242204,True,751-40-8168
yes,81.48568756485795,True,197-32-7648
yes,53.72678010923465,True,888-06-6265
no,58.2463937132442,True,010-84-0223
no,58.871793793868946,True,494-47-4019
no,76.42321892778492,True,324-61-6837
yes,56.99708602014273,True,340-67-6796
no,61.343936029108555,True,390-90-7523
no,60.662091885659606,True,283-63-4335
no,58.9564743496554,True,847-23-1071
yes,57.76889861059961,True,427-06-7525
no,84.96464031086776,True,032-68-9424
no,57.66439530760997,True,172-83-2902
no,75.60991738336972,True,061-68-4295
no,61.51883871293888,True,347-13-6924
no,83.9391141142203,True,703-52-9149
no,80.37458030122153,True,013-31-6892
no,67.07179661101624,True,392-49-2890
no,59.344020838864864,True,436-47-5584
no,56.630596953933335,True,014-81-0211
no,80.41775505215986,True,061-94-5029
no,89.09608399871973,True,676-46-9386
no,60.54852148389797,True,518-99-6073
no,59.02203668194558,True,080-38-0537
no,75.43312995774258,True,362-96-9322
no,57.292692004830506,True,052-83-2028
no,78.65916476466207,False,621-83-4216
no,76.254025705407,True,171-09-3971
no,58.09443548123872,True,078-94-4967
no,78.10503316533612,True,075-91-9896
no,59.45136813905472,True,074-57-7870
no,85.15826957677535,True,408-32-5018
no,81.56021882382585,False,101-46-5207
no,64.71713535032056,True,060-51-3725
no,60.17724355693969,True,037-71-8418
no,84.73246148315587,True,584-85-9040
no,87.86538212431171,True,649-77-5799
no,90.57244262785987,True,387-65-9567
no,66.69774792814478,True,060-28-9434
no,54.72394098875486,True,452-34-7659
no,64.90235491578376,True,062-93-4406
no,54.706364851424,True,260-36-8334
no,77.56653495574132,True,062-21-9041
yes,81.68849414920996,True,281-50-0879
no,79.53577251569654,True,139-35-0731
no,63.56619312676821,True,715-05-0931
no,54.25475607052613,True,531-81-5875
no,61.9449877316779,True,482-32-5863
no,79.82542533215285,True,446-76-3049
yes,59.97351304948177,True,693-32-0392
no,55.815800917918125,True,149-41-4204
no,60.69470180327402,True,540-40-2176
yes,56.87822787457088,True,316-20-4214
no,72.81802510831503,True,183-53-6210
no,81.09746774317878,True,026-44-8127
yes,81.6591721679257,True,768-87-7422
yes,55.824631645528854,True,380-25-3972
no,61.98497764424562,True,131-06-0006
no,74.35410747611519,True,617-88-2118
no,79.895334427137,True,768-30-4549
yes,61.409069560484596,True,575-77-1224
no,55.83306851012681,True,030-43-8811
no,80.90119199013222,True,026-61-0121
no,56.6074775854096,True,354-88-8160
yes,81.93335627620371,True,451-98-5439
no,86.61387771218205,True,488-41-3879
no,78.84912945050473,True,019-89-3585
no,58.67757168950247,True,088-64-6476
yes,79.68865198664905,True,155-69-7721
no,58.39083989915137,True,226-77-1190
no,63.27847959127144,False,384-83-9612
yes,58.78547448604386,True,327-36-2334
no,81.59843361302465,True,080-10-0162
no,59.81985844828631,True,490-44-6239
no,71.52276911179604,True,553-22-4803
no,61.98670912347189,True,468-83-9133
no,59.28147107321046,True,422-82-0071
yes,88.27616369851454,True,686-98-0657
no,58.32563554358913,True,852-72-7700
no,60.74737773540143,True,519-54-6457
no,59.21022503835531,True,189-38-5516
yes,75.92558794249362,True,874-01-2126
no,78.74633286552799,True,545-01-9581
no,62.30697098375446,True,681-29-2287
no,78.86603293216668,True,801-07-1698
no,71.30539965549146,True,505-84-0634
yes,82.73073089035825,True,295-26-7004
no,81.51444043927309,True,095-83-5387
no,85.40935505144776,True,164-04-9121
yes,88.95056232736647,True,276-60-9181
yes,79.40611474799596,True,447-22-2427
no,61.470629191167994,True,437-17-3719
