notes,has_complication,ssn,hospital
high risk,False,874-50-4055,AR
high risk,False,468-09-6807,AK
high risk,False,665-91-8384,AL
high risk,False,028-77-3654,AK
high risk,True,236-93-4570,AR
high risk,False,011-07-0409,AK
high risk,True,513-35-1110,AK
high risk,False,603-17-2945,AZ
high risk,True,192-85-6126,AR
high risk,False,253-71-2026,AK
high risk,False,068-46-5168,AK
high risk,True,468-43-6841,AR
high risk,True,048-07-0244,AK
high risk,False,523-68-9564,AR
high risk,False,327-79-1049,AL
high risk,True,309-37-3244,AK
high risk,False,802-36-5243,AR
high risk,False,884-41-8773,AZ
high risk,False,450-51-7114,AZ
high risk,False,754-87-8172,AK
normal risk,False,864-07-0549,AL
high risk,False,679-82-5367,AK
high risk,False,442-14-8125,AR
high risk,True,130-21-1517,AK
high risk,False,449-71-5352,AZ
normal risk,False,539-15-7646,AL
normal risk,False,751-03-1537,AL
normal risk,True,882-63-1661,AK
high risk,False,241-70-3941,AR
high risk,False,472-27-8593,AR
normal risk,False,819-05-5148,AR
normal risk,True,733-89-2583,AK
high risk,False,794-48-5339,AK
normal risk,False,090-10-8109,AK
high risk,False,004-35-5938,AL
normal risk,False,613-10-7253,AZ
normal risk,False,421-63-5824,AK
high risk,False,331-58-6559,AR
high risk,False,876-28-6606,AL
high risk,False,657-02-5062,AL
high risk,True,302-19-5200,AZ
high risk,False,286-70-4580,AZ
normal risk,False,235-66-2341,AL
high risk,False,482-97-5908,AK
high risk,False,556-01-1139,AZ
high risk,False,456-01-5459,AR
high risk,False,782-33-5276,AK
normal risk,True,451-57-1068,AL
high risk,True,425-90-5378,AZ
high risk,False,146-14-8985,AZ
high risk,False,519-91-9225,AR
normal risk,False,371-77-9306,AR
high risk,False,001-93-4281,AL
high risk,False,576-03-8585,AZ
high risk,False,631-31-3278,AL
high risk,False,590-14-8188,AZ
normal risk,False,716-04-0717,AK
normal risk,False,352-55-6915,AK
normal risk,False,810-96-8354,AL
normal risk,False,509-64-3832,AK
high risk,False,467-98-4091,AR
high risk,False,694-16-2479,AK
high risk,True,421-12-6083,AK
high risk,False,147-82-9667,AZ
normal risk,True,416-05-9268,AR
high risk,False,050-43-8283,AR
high risk,True,826-94-4255,AR
high risk,False,591-88-5468,AK
normal risk,False,867-24-8819,AL
high risk,False,303-92-7634,AK
normal risk,True,772-91-3553,AK
high risk,False,171-02-6375,AL
normal risk,False,171-02-0702,AZ
normal risk,False,355-89-9430,AK
normal risk,False,495-15-3170,AR
normal risk,False,267-45-9683,AR
high risk,False,237-05-6449,AK
high risk,False,094-71-0362,AZ
high risk,False,834-51-7797,AR
high risk,False,585-81-1917,AR
high risk,False,349-97-2306,AK
high risk,False,237-76-7106,AK
high risk,False,162-34-3897,AR
high risk,False,499-70-6093,AL
high risk,False,827-32-4345,AL
normal risk,True,653-65-1266,AL
high risk,True,368-37-4151,AR
high risk,True,013-75-0521,AL
normal risk,False,611-04-4773,AZ
high risk,False,814-96-7995,AR
normal risk,False,477-44-5218,AR
normal risk,False,378-50-5334,AL
high risk,False,337-34-8486,AL
high risk,False,789-63-3751,AL
normal risk,False,233-04-1435,AZ
normal risk,False,005-03-1066,AL
high risk,True,887-42-9103,AZ
normal risk,False,485-10-9635,AK
high risk,False,431-27-8180,AK
normal risk,True,164-88-7961,AK
normal risk,True,259-40-0892,AL
high risk,False,187-36-4206,AR
normal risk,False,346-18-0324,AL
normal risk,False,069-78-9673,AZ
normal risk,False,898-34-6653,AZ
normal risk,True,185-18-4488,AL
high risk,False,492-64-0555,AL
high risk,True,802-33-8058,AZ
high risk,False,158-40-6428,AK
high risk,True,878-73-4084,AR
normal risk,True,859-06-7483,AK
high risk,False,470-46-7220,AR
high risk,True,153-80-2945,AL
high risk,False,687-05-0240,AR
high risk,False,897-72-5990,AZ
high risk,False,202-79-9933,AZ
normal risk,False,436-81-0069,AK
normal risk,False,127-05-3479,AZ
normal risk,False,218-61-4677,AR
high risk,True,768-63-4895,AZ
high risk,False,303-16-3558,AZ
normal risk,False,831-47-5941,AL
high risk,True,146-25-9954,AK
high risk,False,032-23-3061,AR
high risk,False,284-69-1796,AK
high risk,False,273-76-5195,AL
high risk,False,402-40-1385,AL
high risk,False,369-31-9562,AK
high risk,False,301-63-1462,AK
high risk,False,318-81-3329,AL
high risk,False,228-28-9706,AK
high risk,False,180-08-8902,AZ
normal risk,False,870-72-4693,AZ
high risk,False,748-42-6487,AL
high risk,False,195-22-9319,AR
high risk,False,654-56-0216,AK
high risk,False,300-42-7589,AK
normal risk,False,553-13-2497,AL
high risk,False,663-46-3604,AR
normal risk,False,104-16-5842,AK
normal risk,True,555-52-9736,AZ
high risk,True,664-80-8113,AR
high risk,False,072-33-7719,AK
high risk,False,778-53-3615,AL
normal risk,False,791-28-3609,AK
high risk,False,039-82-9457,AK
high risk,False,652-69-8260,AR
normal risk,True,241-10-2822,AZ
normal risk,False,300-35-7574,AZ
high risk,False,334-76-7954,AR
high risk,False,662-80-1831,AR
high risk,True,378-34-5082,AK
high risk,False,714-90-4263,AR
normal risk,False,687-87-9724,AZ
high risk,False,524-95-9387,AL
high risk,False,167-77-0414,AR
high risk,False,055-35-6357,AZ
high risk,False,653-19-0657,AZ
high risk,False,725-23-2384,AL
high risk,False,155-24-7649,AR
normal risk,False,339-94-5506,AZ
high risk,False,284-65-9322,AR
high risk,False,054-98-5052,AZ
high risk,False,375-34-3868,AK
high risk,False,815-55-4751,AR
high risk,False,514-52-8749,AZ
high risk,True,109-12-5844,AR
high risk,False,170-78-1737,AK
high risk,False,683-31-8084,AR
high risk,True,622-23-8496,AK
normal risk,False,744-80-2241,AL
high risk,False,083-75-0103,AZ
normal risk,True,628-08-9358,AL
high risk,True,782-09-7141,AZ
high risk,True,011-81-6837,AK
high risk,False,210-93-6543,AZ
high risk,False,291-37-4268,AK
high risk,False,399-84-8166,AR
high risk,False,749-66-0971,AL
normal risk,True,681-27-8789,AZ
high risk,False,636-39-1009,AK
high risk,False,560-20-5592,AK
high risk,False,636-85-4681,AZ
high risk,False,295-98-7852,AK
high risk,False,827-96-9886,AL
high risk,False,500-26-0684,AL
high risk,False,055-97-3485,AR
high risk,False,068-44-7655,AL
high risk,False,041-70-2471,AL
normal risk,False,497-35-9360,AR
high risk,True,398-53-9293,AK
high risk,False,649-12-3462,AK
high risk,False,843-43-1802,AZ
high risk,False,432-27-2607,AR
high risk,False,229-29-4190,AL
high risk,False,707-40-6566,AL
high risk,False,522-13-8387,AK
high risk,False,024-31-8010,AR
high risk,True,348-85-2480,AZ
high risk,False,129-48-0250,AR
high risk,False,855-35-7968,AL
high risk,False,067-08-2023,AZ
high risk,False,600-62-0544,AL
high risk,True,378-50-3519,AZ
high risk,False,157-14-1980,AZ
high risk,False,444-91-6983,AZ
high risk,False,555-33-4664,AK
high risk,False,005-52-5391,AR
high risk,False,602-69-3321,AZ
normal risk,False,587-86-6731,AL
high risk,False,025-46-2368,AR
normal risk,True,139-23-4342,AL
high risk,False,688-21-4799,AR
high risk,False,340-98-7186,AK
high risk,True,496-40-4430,AL
high risk,True,632-07-4874,AL
high risk,False,701-69-6326,AL
high risk,False,563-49-4966,AR
high risk,False,737-75-7482,AZ
normal risk,False,160-79-9715,AK
normal risk,False,376-59-5512,AK
high risk,False,240-67-1140,AL
high risk,False,422-38-9397,AL
high risk,False,181-37-8440,AL
normal risk,False,142-61-9163,AL
high risk,False,689-27-8655,AR
high risk,False,168-19-1705,AL
normal risk,False,289-46-3578,AL
normal risk,False,091-11-5908,AR
high risk,True,083-99-9287,AL
high risk,False,349-69-8609,AL
high risk,False,161-71-3244,AL
high risk,True,247-33-3748,AR
high risk,False,761-16-7454,AK
high risk,True,197-90-4275,AL
normal risk,False,526-05-1094,AZ
high risk,False,413-77-8571,AK
high risk,False,560-84-9244,AZ
high risk,True,463-29-2336,AR
high risk,False,771-97-2922,AK
high risk,False,090-83-3274,AR
normal risk,False,139-19-1093,AR
high risk,False,545-20-5397,AR
high risk,False,726-72-4293,AK
high risk,True,664-74-5210,AZ
high risk,False,517-66-1660,AZ
normal risk,True,807-70-6106,AR
high risk,False,076-84-5964,AL
normal risk,False,717-34-6823,AL
high risk,True,133-93-1695,AL
high risk,False,182-33-5170,AL
normal risk,False,081-40-3597,AL
high risk,True,352-09-0028,AK
normal risk,False,600-44-0680,AL
normal risk,False,406-83-7278,AR
normal risk,True,128-71-6492,AL
high risk,False,055-88-2901,AR
normal risk,False,573-57-8629,AR
high risk,True,348-58-3178,AZ
high risk,True,430-08-4332,AR
high risk,False,397-63-1371,AZ
normal risk,False,364-46-4753,AL
high risk,False,121-76-4850,AK
normal risk,False,833-72-7206,AR
high risk,True,782-59-8011,AR
high risk,False,552-37-2025,AK
high risk,False,712-97-0755,AZ
normal risk,False,724-71-5534,AZ
high risk,False,023-25-2190,AZ
normal risk,False,172-19-3232,AK
normal risk,False,669-40-8595,AL
normal risk,True,887-76-3952,AR
high risk,True,879-68-5660,AZ
high risk,False,284-91-6722,AK
normal risk,False,111-34-2935,AL
high risk,False,694-12-0874,AK
high risk,True,526-56-9582,AZ
normal risk,False,595-74-1287,AL
high risk,True,810-21-8675,AK
normal risk,False,144-32-3666,AR
normal risk,False,385-72-4179,AR
high risk,True,212-98-2740,AK
high risk,True,822-46-1113,AL
high risk,False,697-76-9997,AL
high risk,True,325-41-3284,AR
high risk,False,152-28-0150,AL
normal risk,True,379-44-9990,AZ
high risk,False,709-76-1947,AZ
high risk,False,874-81-2277,AK
high risk,False,060-76-0543,AK
high risk,False,591-45-9095,AZ
high risk,False,020-91-2055,AZ
high risk,True,729-72-5405,AR
high risk,False,033-81-3429,AK
high risk,False,702-04-7613,AZ
normal risk,False,139-78-7045,AZ
high risk,False,103-26-1091,AL
high risk,False,812-29-9817,AR
high risk,False,492-18-4921,AR
high risk,False,803-59-0127,AR
high risk,False,128-99-8829,AL
high risk,False,883-52-0711,AR
high risk,False,325-81-9060,AZ
normal risk,False,449-72-7212,AR
high risk,False,017-60-5229,AK
normal risk,True,670-46-6332,AR
normal risk,False,533-55-7687,AZ
normal risk,False,130-88-4948,AK
high risk,False,530-66-8442,AL
normal risk,False,560-30-6575,AR
normal risk,False,812-14-4245,AL
high risk,False,018-77-9833,AK
normal risk,False,315-49-3685,AR
high risk,False,707-42-2562,AR
high risk,True,870-17-6069,AZ
normal risk,False,484-07-0006,AL
high risk,False,815-84-9421,AL
high risk,False,043-24-1797,AK
high risk,False,714-02-5286,AK
high risk,True,355-12-1013,AR
normal risk,False,155-15-2989,AK
high risk,True,167-95-6506,AL
high risk,False,399-34-0673,AK
high risk,False,021-11-8375,AK
normal risk,False,256-69-1146,AK
normal risk,False,014-91-5625,AL
high risk,True,086-22-2986,AR
normal risk,False,366-17-4906,AZ
high risk,True,783-95-6248,AR
normal risk,False,710-43-9066,AL
high risk,True,429-14-7930,AK
high risk,False,656-37-8245,AZ
normal risk,True,549-69-7984,AR
normal risk,False,418-12-2169,AL
high risk,True,732-29-3737,AZ
normal risk,False,042-52-2774,AL
normal risk,False,835-98-1482,AK
high risk,False,767-08-3444,AK
high risk,False,642-23-3572,AR
normal risk,False,304-03-3648,AR
high risk,False,049-08-2853,AK
high risk,True,520-46-3701,AZ
normal risk,False,732-51-7441,AL
high risk,True,201-34-0957,AK
high risk,True,589-78-6250,AL
high risk,False,564-45-8951,AZ
high risk,False,409-04-9009,AK
high risk,False,174-38-0537,AL
high risk,True,603-48-8207,AK
normal risk,True,711-45-3374,AK
high risk,True,236-81-2283,AL
normal risk,True,606-88-4662,AR
high risk,False,323-40-2697,AR
normal risk,False,326-90-7468,AL
high risk,False,234-58-9103,AK
high risk,False,109-88-2450,AZ
normal risk,False,441-89-9645,AZ
normal risk,False,007-41-8951,AR
normal risk,False,250-71-8670,AK
high risk,False,117-53-0365,AK
high risk,True,799-20-6105,AR
high risk,False,544-32-8542,AL
high risk,True,166-89-5375,AR
high risk,False,854-59-8591,AL
high risk,True,689-31-8855,AK
